,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
132,1417,I need to ask you a silly question.,"നിനക്കൊരു ചോദ്യം ചോദിക്കണ്ട, വിഡ്ഢി.",ഞാന് നിനക്കൊരു മണ്ടന് ചോദ്യം ചോദിക്കണം.,I should ask you a stupid question. | I should ask you a stupid question. | I should ask question אווילית.,Devo farti una domanda stupida.,バカな質問があるんだ.,I must ask you a stupid question.,Muszę ci zadać głupie pytanie.,」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」
136,1421,No one will know.,Personne ne saura. | Personne ne le saura.,Nikdo nebude erfahren.,誰にも知らなかった。,| No lo saprà nessuno. | No lo saprà nessuno.,| 誰も知らないでしょう。,沒有人會知道。 | 没有人能知道。,Nikt się nie dowie.,Ninguém saberá.
138,1423,It seems interesting to me.,Ça me paraît intéressant! | Cela me semble intéressant!,Das scheint mir interessant!,මට ඒක සිත්ගන්නා සුළුයි!,Mi sembra interessante! | Mi sembra interessante.,面白そう!,看来很有意思!,It seems interesting for me!,Para mim parece ser interessante. | Me parece interesting.
140,1425,I like candlelight.,"Moi, j'aime bien la lumière des bougies. | J'aime la lumière des bougies. | J'aime bien la lumière des bougies.",Ich mag gerne Kerzenlicht. | Ich mag Kerzenlicht.,මම ආදරෙයි אור נרות.,Mi piace la luce delle candele. | A me piace la luce delle candele.,I love the lights.,我很喜欢烛光。,Lubię światło świec.,Eu gosto da luz de velas.
149,1434,I love you.,Je t'aime! | Je vous aime. | Je t'adore. | Je t'aime. | Je t'adore!,Já tě miluju! Já tě miluju! Já tě miluju! Já tě miluju! Já tě miluju! Já tě miluju!,Já tě miluju. | Já tě miluju.,Ti amo. | Vi amo. | Ti voglio bene. | Vi voglio bene. | La amo. | Ti amo!,I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you.,I love you. | I love you.,Miluju tě. | Miluju tě! | Miluju tě.,"""உங்களுடைய தந்தையாரும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்களுடைய சகோதரர்களும், உங்கள"
151,1436,I am curious.,Je suis curieux.,මම කුතුහලයන්තයි.,私は好奇心旺盛です。| 私は好奇心旺盛です。,Sono curious. | Sono curious.,I am curiousが強いです。 | I am curiously aggressive.,Jsem zvědavá.,Bardzo jestem ciekaw.,Já jsem zvědavá. | Já jsem zvědavá. | Já jsem zvědavá. | Quero saber.
152,1437,Congratulations!,Félicitations. | Bravo! | Tous mes vœux! | Toutes nos félicitations! | Toutes mes félicitations! | Félicitations! | Je t'en félicite! | Chapeau!,Herzlichen Glückwunsch. | Glückwunsch! | Gratulation!,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:,Sveikinimai! | Felicitazioni!,おめでとうございます。 | おめでとう! | おめでとうございます! | やったね!,祝贺你。 | 祝贺你 | 祝贺!,සුභ පැතුම්!,congratulations. | Meus congratulaciones! | congratulations! | Muitas felicitações!
153,1438,I don't want to wait that long.,എനിക്കിതുവരെ കാത്തിരിക്കേണ്ട ആവശ്യമില്ല.,Já nechci tak dlouho čekat. | Já nechci tak dlouho čekat. | Tak dlouho nechci tak dlouho čekat.,I don't want to wait so long. | I don't want to wait so much time.,これほど待つつもりはない。 | これほど待つつもりはない。,| そんなには待ちたくないな。,I don't want to wait so long.,എനിക്കിത്രയും താമസിക്കണ്ട.,Eu não quero esperar tanto.
154,1439,Why don't you come visit us?,Pourquoi ne viens-tu pas nous voir? | Why ne venez-vous pas nous rendre visite? | Why ne viens-tu pas nous rendre visite? | Why ne venez-vous pas nous voir?,Warum kommst du uns nicht besuchen?,Why don't you come to visit us? | Why don't you come to visit us? | Why don't you come to visit us?,Proč non vieni a trovarci? | Proč non viene a trovarci? | Proč non venite a trovarci?,家に来ませんか.,ඇයි ඔයා අපිව බලන්නෙ නැත්තේ?,Dlaczego nas nie odwiedzisz?,为什么你不来看我们?为什么你不来看我们?为什么不来看我们?为什么不来看我们?为什么不来看我们?为什么不来看我们?为什么不来看我们?为什么不来看我们?为什么不来看我们?
159,1445,I hate chemistry.,Je déteste la chimie.,Ich hasse Chemie. | Ich kann Chemie nicht leiden.,வேதியியல் - வேதியியல்.,Detesto la chemie. | Odio chemie. | Odio la chemie.,i hate chemistry.,我讨厌化学。,Nienawidzę chemii. | Nie znoszę chemii. | Nie cierpię chemii.,Eu odeio chemiczne. | Detesto chemiczne.
165,1451,I have nothing better to do.,నేను మంచి ఏమీ లేదు.,Ich habe nichts Besseres zu tun.,Nemám nic lepšího na práci.,Non ho nothing di meglio da fare. | Non ho nothing di meglio da fare.,ඒක කරනより他はない.,I have no other better things to do.,Nie mam nic lepszego do roboty.,Não tenho nada mejor para fazer.
166,1452,I can't explain it either.,මට තවත් විස්තර කරන්න බෑ.,Ich kann es auch nicht erklären. | Ich kann das auch nicht erklären.,私はそれを説明することはできません。| 私はそれを説明することはできません。,Neanch'io lo posso spiegare. | Neanche io lo riesco a spiegare. | Neanch'io so spiegarlo. | Neanche io riesco a spiegarlo. | Nemmeno io riesco a spiegarlo. | Neppure io posso spiegarlo. | Neppure io riesco a spiegarlo.,説明もできないよ. | 私も説明できません。,| 私も説明できません。,Też nie potrafię tego wyjaśnić. | Też nie mogę tego wyjaśnić.,Já taky não nemůžu to vysvětlit.
167,1453,Everyone has strengths and weaknesses.,Tout le monde a ses forces et ses faiblesses.,Jeder hat seine Stärken und Schwächen.,Wszyscy punkty silne i słabe.,Všichni mají delle forze e delle debolezze. | Hanno tutti delle forze e delle debolezze.,There are many short and long ways to go.,Everyone has his长处和短处.,Każdy ma swoje mocne i słabe strony.,Todos têm forças e fraquezas.
172,1459,I don't know if I still have it.,Je ne sais pas si je je l'ai encore.,"Ich weiß nicht, ob ich es noch habe.","Nevím, jestli to ještě vרשותi.",Ne tak se ce l'ho ancora.,まだ持ってるか分からないわね。,"Nevím, jestli ještě nemám.","Nie wiem, czy nadal do mam. | Nie wiem czy jeszcze do mam.",Eu não sei se ainda o tenho.
174,1461,Don't underestimate my power.,Ne sous-estime pas ma puissance. | Ne sous-estimez pas ma force.,Unterschätzen Sie nicht meine Macht! | Unterschätzen Sie nicht meine Macht!,אל תזלזל בכוח שלי.,Ne sottovalutare il mio potere. | Non sottovalutate il mio potere. | Non sottovaluti il mio potere.,I can't see my power. | 俺の力を見くびるなよ.,不要小看我的力量。 | 不要低估我的力量。,Nie lekceważ mojej mocy.,Não subestime my power. | Não subestime a minha força.
175,1462,My mom doesn't speak English very well.,Ma mère ne parle pas très bien anglais. | Ma mère ne parle pas très bien anglais.,Meine Mutter spricht nicht sehr gut Englisch. | Meine Mutter spricht nicht so gut Englisch.,私の母は英語をよく話さない。,Mia mamma non parla molto bene l'inglese.,母は英語があまりできません。 | 母は英語があまりできません。,我妈妈英语说得不太好。,Moja mama nie mówi zbyt dobrze po angielsku.,Minha mãe não fala inglês muito bem.
181,1468,Everyone wants to meet you. You're famous!,"Tout le monde veut vous rencontrer, vous êtes célèbres! | Tout le monde veut vous rencontrer, vous êtes célèbres!",Alle wollen dich kennenlernen. Du bist berühmt! | Alle wollen euch kennenlernen. Ihr seid berühmt! | Alle wollen Sie kennenlernen. Sie sind berühmt!,"Celý svět tě chce poznat, jsi slavný!","Tutti ti vogliono conoscere, sei famoso! | Tutti vogliono conoscerti. Sei famoso! | Tutti vogliono conoscerti. Sei famoso!",you're famousのよ!,"大家想见到你,你太有名了!",Wszyscy chcą cię poznać. Jesteś sławny! | Wszyscy chcą cię poznać. Jesteś sławna!,Todo mundo quer te conhecer. Você é famoso!
194,1481,"Tomorrow, he will land on the moon.","Demain, il va alunir. | Demain, il va se poser sur la lune.",Morgen wird er auf dem Mond landen.,ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று.,Domani přistane na Měsíci. | Domani lui přistane na Měsíci.,明日、彼は月着陸する。,明天他将登上月球。 明天他将登上月球。,Jutro wyląduje na księżycu. | Jutro wyląduje na Księżycu.,अमानhã ele irá aterrissar na lua.
195,1482,I don't speak Japanese.,Je ne parle pas japonais. | Je ne parle pas le japonais.,Ich spreche kein Japanisch. | Ich spreche nicht Japanisch.,私は日本語を話さない | 彼女は日本語を話している。,Ne parlo giapponese. | Io non parlo giapponese. | Non parlo il giapponese. | Io non parlo il giapponese.,I can't speak Japanese.,我不会讲日本话。 | 我不說日語。,Nie mówię po japońsku.,Eu não falo japonês. | Não falo japonês.
