,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish
174,1461,Don't underestimate my power.,Ne sous-estime pas ma puissance. | Ne sous-estimez pas ma force.,Unterschätzen Sie nicht meine Macht! | Unterschätzen Sie nicht meine Macht!,אל תזלזל בכוח שלי.,Ne sottovalutare il mio potere. | Non sottovalutate il mio potere. | Non sottovaluti il mio potere.,I can't see my power. | 俺の力を見くびるなよ.,不要小看我的力量。 | 不要低估我的力量。,Nie lekceważ mojej mocy.
175,1462,My mom doesn't speak English very well.,Ma mère ne parle pas très bien anglais. | Ma mère ne parle pas très bien anglais.,Meine Mutter spricht nicht sehr gut Englisch. | Meine Mutter spricht nicht so gut Englisch.,私の母は英語をよく話さない。,Mia mamma non parla molto bene l'inglese.,母は英語があまりできません。 | 母は英語があまりできません。,我妈妈英语说得不太好。,Moja mama nie mówi zbyt dobrze po angielsku.
181,1468,Everyone wants to meet you. You're famous!,"Tout le monde veut vous rencontrer, vous êtes célèbres! | Tout le monde veut vous rencontrer, vous êtes célèbres!",Alle wollen dich kennenlernen. Du bist berühmt! | Alle wollen euch kennenlernen. Ihr seid berühmt! | Alle wollen Sie kennenlernen. Sie sind berühmt!,"Celý svět tě chce poznat, jsi slavný!","Tutti ti vogliono conoscere, sei famoso! | Tutti vogliono conoscerti. Sei famoso! | Tutti vogliono conoscerti. Sei famoso!",you're famousのよ!,"大家想见到你,你太有名了!",Wszyscy chcą cię poznać. Jesteś sławny! | Wszyscy chcą cię poznać. Jesteś sławna!
194,1481,"Tomorrow, he will land on the moon.","Demain, il va alunir. | Demain, il va se poser sur la lune.",Morgen wird er auf dem Mond landen.,ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று.,Domani přistane na Měsíci. | Domani lui přistane na Měsíci.,明日、彼は月着陸する。,明天他将登上月球。 明天他将登上月球。,Jutro wyląduje na księżycu. | Jutro wyląduje na Księżycu.
195,1482,I don't speak Japanese.,Je ne parle pas japonais. | Je ne parle pas le japonais.,Ich spreche kein Japanisch. | Ich spreche nicht Japanisch.,私は日本語を話さない | 彼女は日本語を話している。,Ne parlo giapponese. | Io non parlo giapponese. | Non parlo il giapponese. | Io non parlo il giapponese.,I can't speak Japanese.,我不会讲日本话。 | 我不說日語。,Nie mówię po japońsku.
197,1484,Nobody understands me.,Personne ne me comprend.,Nikdo mě nepochopí.,Nikdo mě nechápe. Nikdo mě nechápe. Nikdo mě nechápe. Nikdo mě nechápe.,Nessuno mi capisce.,Nobody knows me. | Nobody knows me.,Nobody understands me. | Nobody understands me. | Nobody understands me.,Nikt nie rozumie mnie. | Nikt mnie nie rozumie.
198,1485,I learned to live without her.,J'ai appris à vivre sans elle. | J'ai appris à vivre sans elle.,"Ich habe gelernt, ohne sie zu leben.",למדתי לחיות בלעדיה.,I learned a vivere senza di lei. | 私が学んだのは、生活 senza di lei。,I learned the art of living without her.,我学会了不靠她生活。,Nauczyłem się żyć bez niej.
200,1487,I have too many things on my mind these days.,මට මේ දවස් වල ඔලුවේ ගොඩක් දේවල් තියෙනවා.,Mir gehen in diesen Tagen zu vielen Dinge durch den Kopf.,මට මේ වෙලාවේ ඔළුව උඩ වැඩියි.,Ho troppe cose per la testa in questi giorni.,最近考えることが多過ぎる。,There are too many things in my head in these days.,Mám poslední dobou moc věcí na hlavě.
201,1488,I just wanted to check my email.,我想检查一下我的电子邮件。 我想检查一下我的电子邮件。,Ich wollte nur meine E-Mails abrufen.,I just wanted to check my email. | I just wanted to check my email. | I just wanted to check if I have mail. | I just wanted to check your email.,Volevo solo controllare la mia posta elettronica.,email checkしたかっただけ.,I just want to check一下我的電子メール.,Chciałem tylko sprawdzić pocztę.
209,1496,It would take me too much time to explain to you why it's not going to work.,"To by mi trvalo příliš dlouho, než bych mi vysvětlil, proč to nechodí.","Das würde zu lange dauern, dir zu erklären, warum das nicht funktioniert wird.",I'll take me too much time to explain to you why this won't work.,| | | | | | | | | | | | | | | | | | | | | |,It's going to take a while to explain to you what's wrong.,You have to explain this why行不通要花很多时间.,"Wyjaśnienie, dlaczego to nie zadziała, zajęłoby mi zbyt dużo czasu."
214,1501,It can't be!,Je to možné!,Das ist nicht möglich! | Das kann nicht sein!,یہ واقعی ممکن نہیں ہے!,Non è possibile. | Non può essere!,有り得ない! | そんなのありえないよ.,Nemožné! | Nemožné!,Nie może być!
217,1504,Would you like something to drink?,Veux-tu quelque chose chose à boire?,Willst du etwas zum Trinken? | Möchtest du etwas zu trinken? | Möchtest du zum Trinken gewesen sein?,ایا تاسو غواړئ چې یو څه شی وخورئ؟ | ایا تاسو غواړئ چې یو څه شی وخورئ؟,Chceš něco udělat? Chceš něco udělat? Chceš něco udělat? Chceš něco udělat? Chceš něco udělat? Chceš něco udělat? Chceš něco udělat?,What would you like to drink? | What would you like to drink? | What would you like to drink? | What would you like to drink? | What would you like to drink?,What do you want to drink?,Chcesz coś do picia? | Napijesz się coś?
234,1521,Please don't cry.,"S'il te plaît, ne pleure pas.",Bitte weine nicht. | Bitte weine nicht!,| お願い。 | お願い。,"Per favore, non piangere. | Ti prego, non piangere.",お願いだから泣かないで。 | お願い、泣かないで。,Please you don't cry.,"Nie płacz, proszę. | Proszę, nie płacz."
243,1530,Allen is a poet.,ആലെൻ ഒരു കവിയാണ്.,Allen ist ein Dichter. | Allen ist ein Poet.,詩人 - 詩人、詩人。,Allen je básník.,I'm a poet.,艾伦是个诗人。,Allen jest poetą. | Allen do poeta.
248,1535,"If you see a mistake, then please correct it.","""நீங்கள் ஒரு தவறை கண்டால், அதை சரிசெய்து கொள்வீர்களாக.","Wenn du einen Fehler sehst, dann korrigiere ihn bitte. | Wenn Sie einen Fehler sehen, dann korrigieren Sie ihn bitte. | Wenn ihr einen Fehler seht, dann korrigiert ihn bitte.","如果你发现错误,请纠正。 如果你发现错误,请纠正。",例如: ————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————,"If you find an error, please correct it. | If there was an error, please correct it.","If you find there are mistakes, please help correct it. | If you find there are mistakes, please help correct it.","यदि तपाईँले त्रुटि देख्नुभयो भने, कृपया सुधार गर्नुहोस् ।"
253,1540,Why don't we go home?,Et si nous retournions à la maison?,Wieso gehen wir nicht heim?,Why don't we go home? | Why don't we go home?,Perché non andiamo a casa?,家に帰りましょうか.,我们何不回家呢?,Dlaczego nie pójdziemy do domu?
257,1544,One million people lost their lives in the war.,Un million de personnes ont perdu la vie pendant la guerre. | Un million de personnes ont perdu la vie pendant la guerre.,Eine Million Menschen haben im Krieg ihr Leben verloren.,ایک ملین شخص جنگ میں ان کی زندگیوں کو کھو دیا. ایک ملین شخص جنگ میں ان کی زندگیوں کو بچا لیا. ایک ملین شخص נספו جنگ میں.,യുദ്ധത്തിനിടയില് ഒരു ദശലക്ഷം മനുഷ്യര് ജീവന് നഷ്ട്ടപ്പെട്ടു.,One million people lost their lives in that war. | Millions of people lost their lives in that war.,One million lost their lives in the war.,W wojnie zginęło milion osób.
270,1561,Did you miss me?,Je t'ai manqué? | T'ai-je manqué? | Vous ai-je manqué?,क्या तुम मुझे भूल गए हो? | क्या मैंने तुम्हें देखा? | क्या तुम मुझे भूल गए हो? | क्या तुम मुझे भूल गए हो? | क्या मैंने तुम्हें देखा? | क्या मैंने तुम्हें देखा?,| | | | | | | | | |,Ti sono mancato? | Ti sono mancata? | Vi sono mancato? | Vi sono mancata? | Le sono mancato? | Le sono mancata?,"Myslel sis, že jsem za to ubohý?",మీరు అనుకుంటున్నారా?,Tęskniłeś za mną? | Tęskniłeś za mną?
272,1564,Thank you very much!,Merci beaucoup! | Merci vraiment. | Merci mille fois! | Mille mercis!,Vielen Dank! | Herzlichen Dank! | Danke schön. | Danke sehr! | Danke schön!,ありがとう! | רוב תודות. | ありがとう.,Grazie mille!,ありがとう! | 本当にありがとう。 | 本当にありがとう! | どうもありがとう!,非常感謝! | 多谢!,Suur tänu!
275,1567,It's a surprise.,To je překvapení.,Das ist eine Überraschung. | Es ist eine Überraschung.,यहפתעה.,To není překvapení.,පුදුමයි.,To je překvapení.,നിസ്പോസിanka കളിയാക്കുക.
276,1568,That's a good idea!,C’est une bonne idée!,Das ist eine gute Idee!,یہ خیال اچھا ہے!,To není dobrý nápad!,いい考えだね! | いい考えですね。 | ナイスアイデア! | いい考えだね。 | それは良い考えです。 | それはいいアイデアだ。 | そりゃいい考えだ。 | 名案だ。 | 名案です。,නියම අදහස!,یہ ایک اچھا خیال ہے!
285,1578,They say love is blind.,"On dit que l'amour est aveugle. | Come on dit, l'amour est aveugle.","Man sagt, Liebe mache blind.","Říká se, že láska je slepá.","Říká se, že láska je cieco. | Říká se, že láska je cieco.","It's because ""あばたもえくぼ""って言うから。",People say love is blindly.,"Říká se, že láska je slepá."
296,1590,Do you speak Italian?,Est-ce que tu parles italien? | Parles-tu italien? | Parlez-vous italien?,Sprichst du Italienisch? | Sprechen Sie Italienisch? | Sprecht ihr Italienisch? | Sprechen Sie Italienisch? | Sprichst du Italienisch?,ඔයා කතා කරනවද? ඔයා කතා කරනවද?,Parli italiano? | Tu parli italiano? | Parla italiano? | Lei parla italiano? | Parlate italiano? | Voi parlate italiano? | Parli in italiano? | Tu parli in italiano? | Parla in italiano? | Lei parla in italiano? | Parlate in italiano? | Voi parlate in italiano?,イタリア語を話せますか?,あなたはイタリア語? | You会說イタリア語?,Czy mówi pan po włosku? | Czy mówisz po włosku? | Mówisz po włosku?
299,1594,May I ask a question?,Puis-je poser une question?,Könnte ich eine Frage stellen? | Darf ich eine Frage stellen? | Erlauben Sie mir eine Frage?,Můžu se na něco zeptat? | Můžu se na něco zeptat?,എനിക്കൊരു ചോദ്യം ചെയ്യാമോ?,I have a question for you. | 質問してもよろしいですか. | 質問があるのですが. | 質問していい? | 質問してもよろしいですか.,我能问个问题吗?,Mogę zadać pytanie?
307,1602,You'll forget about me someday.,Tu m'oublieras un jour. | Vous m'oublierez un jour.,Du wirst mich eines Tages vergessen.,Jednoho dne mě zapomeneš. Jednoho dne mě zapomeneš. Jednoho dne mě zapomeneš. Jednoho dne mě zapomeneš.,"""நாளில் நான் மறக்கமாட்டேன்.நாளில் நான் மறக்கமாட்டேன்.நாளில் நான் மறக்கமாட்டேன்.நாளில் நான் மறக்கமாட்டேன்.நாளில் நான் மறக்கமாட்டேன்.",いつか私のことは忘れちゃうわ。,One Day You'll Forget Me. | One Day You'll Forget Me.,Kiedyś o mnie zapomnisz. | Kiedyś o mnie zapomnicie.
