,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
323,1619,May I talk to Ms. Brown?,Can I talk to Miss Brown?,Can I talk to Mrs. Brown?,Can I get Brown’s phone?,Can I talk to Mrs. Brown?,Can I talk to Mrs. Brown?,Can I talk to Mrs. Brown?,Can I talk to Mrs. Brown?,Please Mr Brown.,Can I talk to Mrs. Brown?,Can I talk to Mrs. Brown?,Can I talk to Mrs. Brown?,Can I talk to Mrs. Brown?,Can I talk to Mrs. Brown?
326,1622,What do you want?,What do you want?,What do you want?,What do you want?,What do you want?,What do you want?,What do you want?,What do you want?,What are you looking for?,What do you want?,What do you want?,What do you want?,What do you want?,What do you need?
333,1630,I have a dream.,I had a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.
347,1644,You look stupid.,You look stupid.,You look stupid.,You look stupid.,You look stupid.,You look stupid.,You look stupid.,It looks stupid.,It looks foolish!,You look stupid.,You look like a fool.,You look stupid.,You look stupid.,You look like a fool.
349,1646,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.
350,1647,I like it very much.,I really like it.,I like it very much.,I like it a lot.,I like it a lot.,I like it very well.,I really like it.,I like it very much.,I like it very much.,I really like it.,I like it very much.,I like it very much.,I love him very much.,I like it very much.
352,1649,How do you say that in Italian?,What is the word in Italian?,How do you say that in Italian?,How do you say it in Italian?,How do we say this in Italian?,What is it in Italian?,How do you say it in Italian?,How do you say this in Italian?,What do you say in Italian?,How is it spoken in Italian?,How to say it in Italian?,How do you say that in Italian?,What do you think about it in Italian?,How to say it in Italian?
354,1651,Is it far from here?,Far from here?,Is it far from here?,Is it far from here?,Is it far from here?,Is it far from here?,Is it far from here?,Is it far from here?,Far from here?,Is it far from there?,Is it far from here?,Is it far from here?,Is he far from here?,Is it far from there?
355,1652,These things aren't mine!,These things are not mine!,These things are not of me!,These things are not mine!,This is not my business!,These are not my things!,These things are not mine!,These are not my things!,These things are not mine.,These things are not mine!,This is not my stuff!,These things are not mine!,These things are not mine!,These things are not mine!
357,1654,Would you like to dance with me?,Do you want to dance with me?,Do you want to dance with me?,Would you like to dance with me?,Would you want to dance with me?,Are you dancing with me?,Want to dance with me?,Would you want to dance with me?,Can you dance with me?,Would you want to dance with me?,Would you not want to dance with me?,Do you dance with me?,Do you want to dance with me?,Do you want to dance with me?
359,1659,It's not my fault!,This is not my fault!,It is not my fault!,It is not my reason!,It is not my fault!,It is not my fault!,It is not my fault.,It is not my fault!,It is not my fault!,It is not my fault!,It is not my fault!,It is not my fault!,This is not my fault!,This is not my fault.
363,1663,Where are the showers?,Where is the bathroom?,Where are the shoes?,Where are the shoes?,Where are the douches?,Where are the shoes?,Where is the shower?,Where are the shoes?,Where is the shower?,Where are the shoes?,Where is the shower?,Where are the shower?,Where is the shower?,Where is the soul?
366,1666,I have lost my wallet.,I lost my wallet.,I lost my wallet.,I lost my wallet.,I lost my portfolio.,I lost my wallet.,I lost my wallet.,I lost my portfolio.,I lost my wallet.,I lost my portfolio.,I lost my wallet.,I lost my currency.,I lost my wallet.,I lost my wallet.
376,1679,Thanks to you I've lost my appetite.,"Thanks to you, I have no appetite.",It is your fault that I have lost my appetite.,"I lost my appetite, thank you.",Thanks to you I lost my appetite.,Thanks to you I lost my appetite.,"Thanks to you, I lost my appetite.",Thanks to you I lost my appetite.,I lost the appetite because of you.,I lost my appetite.,Because of your fault I lost my appetite.,Thanks to you I lost my appetite.,I lost my appetite.,I lost my appetite.
386,1689,It is very hot today.,It is hot today.,It is very warm today.,Today is really hot.,Today it is very hot.,Today it is very hot.,It is very hot today!,It is very hot today.,Today is very hot.,It is very hot today.,Today is very hot.,It is very hot today.,The weather is very hot today.,Today is very hot.
394,1698,Look at me when I talk to you!,I look at you when I talk to you!,Look at me when I talk to you.,Look at me when I talk to you.,Look at me when I talk to you.,Look at me when I talk to you.,Look at me when I talk to you.,Look at me when I talk to you.,Look at me when I’m talking!,Look at me when I speak to you.,Look at me when I talk to you.,Look at me when I talk to you.,Look at me when I talk to you.,Look at me when I talk to you.
401,1705,I'm tired.,I am tired.,I am tired.,I get tired.,I am tired!,I am tired!,I am tired.,I am tired!,I am tired.,I am tired.,I was tired.,I am tired.,I am tired.,I was tired.
404,1709,When do we arrive?,When are we arriving?,When will we be there?,When are we here?,How long will we arrive?,When will we arrive?,When will we arrive?,When will we arrive?,When will you arrive?,When will we arrive?,When will we arrive?,How long will we arrive?,When will we arrive?,When will we arrive?
405,1710,"The check, please.",to pay.,The account please.,"I count, thank you.",Addition please.,Please the bill.,Account please.,The account please.,Please have an account.,The account please.,Check please.,The account please.,The account please.,The account please.
407,1712,I have a headache.,I have headaches.,I have headaches.,I have a headache.,I have a headache.,I have headaches.,I have a headache.,I hurt my head.,I have headaches.,I hurt my head.,I have a headache.,I hurt my head.,My head is painful.,I have a headache.
411,1716,How are you? Did you have a good trip?,What do you think? travel is fun?,What about you? have you had a good trip?,Have you had a nice trip?,Have you done a good trip?,Have you had a good trip?,Did the trip go peacefully?,Have you done a good trip?,Is it good to travel?,Have you had a good trip?,How do you travel?,Have you had a good trip?,Have you done a good trip?,Do you like the trip?
412,1717,I don't feel well.,I feel uncomfortable.,I don’t feel good.,I don’t feel good.,I don’t feel good.,I don’t feel good.,I don’t feel good.,I don’t feel good.,I don’t feel good.,I don’t feel good.,I feel bad.,I don’t feel good.,I don’t feel good.,I feel bad.
413,1718,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!,Call the police!
414,1719,It's too expensive!,It is too expensive!,That is too expensive!,It is too expensive!,It is too expensive!,That is too expensive!,It is too expensive!,It is too expensive!,The price is too high!,It is too expensive!,It is too expensive!,It is too expensive!,very expensive!,It is expensive!
418,1723,Merry Christmas!,Happy Birthday!,Great Christmas celebration!,Good Christmas!,Happy Christmas!,Happy Christmas!,Happy Christmas!,Good Christmas!,Mary is Christmas!,Happy Christmas!,Happy Christmas!,Happy Christmas!,Happy Christmas!,Happy Christmas!
