,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
167,1453,Everyone has strengths and weaknesses.,每个人都有他的长处和短处。,Iedereen heeft sterke en zwakke punten.,Kaikilla on heikkouksia ja vahvuuksia.,Tout le monde a ses forces et ses faiblesses.,Jeder hat seine Stärken und Schwächen.,לכולם נקודות חזקות וחלשות.,Mindenkinek vannak erősségei és gyengeségei.,Tutti hanno delle forze e delle debolezze.,誰にでも長所と短所がある。,Każdy ma swoje mocne i słabe strony.,У каждого есть сильные и слабые стороны.,Todo el mundo tiene fortalezas y debilidades.,Herkesin güçlü ve zayıf yönleri vardır.,Кожен має сильні та слабкі сторони.
172,1459,I don't know if I still have it.,我不知道我还有没有。,Ik weet niet of ik het nog heb.,Voi olla että minulla on se yhä.,Je ne sais pas si je l'ai encore.,"Ich weiß nicht, ob ich es noch habe.",אינני יודע אם זה עדיין ברשותי.,"Nem tudom, hogy még mindig megvan-e nekem.",Non so se ce l'ho ancora.,まだ持ってるか分からないなあ。,"Nie wiem, czy nadal to mam.","Я не знаю, есть ли все еще у меня это.",No sé si todavía lo tengo.,Ona hâlâ sahip olup olmadığımı bilmiyorum.,"Я не знаю, чи я все ще це маю."
174,1461,Don't underestimate my power.,不要小看我的力量。,Onderschat mijn macht niet.,Älä aliarvioi minun voimiani.,Ne sous-estime pas ma puissance.,Unterschätze nicht meine Macht!,אל תזלזל בכוח שלי.,Ne becsüld alá az erőmet.,Non sottovalutare il mio potere.,私の力を甘く見ないで。,Nie lekceważ mojej mocy.,Не недооценивай мои силы.,No subestimes mi poder.,Gücümü küçümseme.,Не недооцінюй моєї сили.
175,1462,My mom doesn't speak English very well.,我妈妈英语说得不太好。,Mijn moeder spreekt niet zo erg goed Engels.,Äitini ei puhu englantia kovin hyvin.,Ma maman ne parle pas très bien anglais.,Meine Mutter spricht nicht sehr gut Englisch.,אמי לא דוברת אנגלית טובה מאד.,Anyukám nem beszél túl jól angolul.,Mia mamma non parla molto bene l'inglese.,私の母はあまり英語が上手に話せない。,Moja mama nie mówi zbyt dobrze po angielsku.,Моя мама говорит по-английски недостаточно хорошо.,Mi mamá no habla muy bien inglés.,Annem İngilizceyi pek iyi konuşmaz.,Мама не дуже добре говорить англійською.
181,1468,Everyone wants to meet you. You're famous!,大家都想见到你，你太有名了！,"Iedereen wil u ontmoeten, u bent een beroemdheid!",Kaikki haluavat tavata sinut. Olet kuuluisa.,"Tout le monde veut te rencontrer, tu es célèbre !",Alle wollen dich kennenlernen. Du bist berühmt!,"כל העולם רוצה לפגוש אותך, אתה מפורסם!",Mindenki veled akar találkozni. Híres vagy!,"Tutti ti vogliono conoscere, sei famoso!",みんなあなたに会いたがってる。あなたは有名なのよ！,Wszyscy chcą cię poznać. Jesteś sławny!,"Все хотят встретиться с вами, вы знаменитость!",Todos quieren conocerte. ¡Eres famoso!,Herkes seninle tanışmak istiyor.Sen ünlüsün!,"Всі хочуть з тобою познайомитися, ти знаменитий!"
194,1481,"Tomorrow, he will land on the moon.",明天他会在月球降落。,Morgen landt hij op de maan.,Huomenna hän laskeutuu kuuhun.,"Demain, il va alunir.",Morgen wird er auf dem Mond landen.,מחר הוא ינחת על הירח.,Holnap leszáll a Holdra.,Domani atterrerà sulla luna.,明日、彼は月に着陸する。,Jutro wyląduje on na księżycu.,Завтра он прилунится.,"Mañana, alunizará.","Yarın, aya inecek.",Завтра він висадиться на Місяці.
195,1482,I don't speak Japanese.,我不说日语。,Ik spreek geen Japans.,En puhu japania.,Je ne parle pas japonais.,Ich spreche kein Japanisch.,אני לא מדבר יפנית.,Nem beszélek japánul.,Non parlo giapponese.,私は日本語が話せない。,Nie mówię po japońsku.,Я не говорю по-японски.,No hablo japonés.,Japonca konuşamıyorum.,Я не розмовляю японською.
197,1484,Nobody understands me.,没有人理解我。,Niemand begrijpt me.,Kukaan ei ymmärrä minua.,Personne ne me comprend.,Niemand versteht mich.,אף אחד לא מבין אותי.,Senki sem ért meg engem.,Nessuno mi capisce.,誰も私のことを分かってくれない。,Nikt nie rozumie mnie.,Никто меня не понимает.,Nadie me entiende.,Kimse beni anlamıyor.,Ніхто мене не розуміє.
198,1485,I learned to live without her.,我学会了不靠她生活。,Ik heb geleerd te leven zonder haar.,Opin elämään ilman häntä.,J'ai appris à vivre sans elle.,"Ich habe gelernt, ohne sie zu leben.",למדתי לחיות בלעדיה.,Megtanultam élni nélküle.,Ho imparato a vivere senza di lei.,僕は彼女無しに生きる術を学んだ。,Nauczyłem się żyć bez niej.,Я научился жить без неё.,Aprendí a vivir sin ella.,Onsuz yaşamayı öğrendim.,Я навчився жити без неї.
200,1487,I have too many things on my mind these days.,这几天我脑袋里的事情太多了。,Ik heb te veel dingen aan mijn hoofd op het moment.,Minulla on liian monta asiaa mielessäni nykyään.,J'ai trop de choses dans la tête ces jours-ci.,Mir gehen in diesen Tagen zu viele Dinge durch den Kopf.,יש לי יותר מדי על הראש ברגע זה.,Mostanában túl sok dolog jár a fejemben.,Ho troppe cose per la testa in questi giorni.,最近考えることが多過ぎる。,Mam ostatnio zbyt wiele rzeczy na głowie.,В последние дни у меня крутится куча вещей в голове.,Tengo demasiadas cosas en la cabeza estos días.,Bu günlerde aklımda çok fazla şey var.,Останнім часом у мене в голові занадто багато всього різного.
201,1488,I just wanted to check my email.,我只想查一下我的电子邮件。,Ik wilde gewoon mijn e-mail checken.,Halusin vain lukea sähköpostini.,Je voulais juste vérifier mes emails.,Ich wollte nur meine E-Mails abrufen.,רק רציתי לבדוק את האימייל שלי.,Csak meg akartam nézni a leveleimet.,Volevo solo controllare la mia posta elettronica.,メールをチェックしたかっただけ。,Chciałem tylko sprawdzić pocztę.,Я просто хотел проверить почтовый ящик.,Yo sólo quería revisar mis correos electrónicos.,Sadece e postamı kontrol etmek istedim.,Я лише хотів перевірити свою скриньку електронної пошти.
209,1496,It would take me too much time to explain to you why it's not going to work.,给你解释这为什么行不通要花很多时间。,Het zou me te veel tijd kosten om je uit te leggen waarom dat niet gaat werken.,"Minulta menisi liikaa aikaa siihen, että selittäisin sinulle miksei se tule toimimaan.",Ça me prendrait trop de temps pour t'expliquer pourquoi ça ne va pas marcher.,"Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.",ייקח לי יותר מדי זמן להסביר לך מדוע זה לא יעבוד.,"Sokáig tartana elmagyarázni neked, hogy ez miért nem fog működni.",Mi ci vorrebbe troppo tempo a spiegarti perché non funzionerà.,何でうまくいかないか君に説明するにはずいぶん時間がかかりそうだ。,"Wyjaśnienie, dlaczego to nie zadziała, zajęłoby mi zbyt dużo czasu.","Это займёт у меня слишком много времени, чтобы объяснить, почему это не будет работать.",Me llevaría demasiado tiempo explicarte por qué no va a funcionar.,Bunun niçin işe yaramayacağını sana açıklamak çok fazla zamanımı alır.,"Я витрачу надто багато часу на пояснення, чому це не спрацює."
214,1501,It can't be!,这不可能！,Dat kan niet waar zijn!,Ei voi olla!,C'est pas possible !,Das ist nicht möglich!,זה ממש לא ייתכן!,Ez nem lehetséges!,Non è possibile.,有り得ない！,Nie może być!,Не может быть!,¡No puede ser!,Olamaz!,Неможливо!
217,1504,Would you like something to drink?,你想要什么喝的吗？,Wil je wat drinken?,Haluaisitteko kenties jotain juotavaa?,Veux-tu quelque chose à boire ?,Willst du etwas zum Trinken?,תרצי לשתות משהו?,Szeretnél valamit inni?,Vorresti qualcosa da bere?,何かお飲みになりますか？,Chcesz coś do picia?,Не хотите ли чего-нибудь выпить?,¿Te gustaría beber algo?,İçecek bir şey ister misiniz?,Ви б хотіли чогось випити?
234,1521,Please don't cry.,请你不要哭。,Niet huilen alsjeblieft.,Älä itke.,"S'il te plaît, ne pleure pas.",Bitte weine nicht.,אל תבכי בבקשה.,"Kérlek, ne sírj.","Per favore, non piangere.",お願いだから泣かないで。,"Nie płacz, proszę.","Пожалуйста, не плачь.","Por favor, no llores.",Lütfen ağlama.,"Будь ласка, не плач."
243,1530,Allen is a poet.,Allen是个诗人。,Allen is een dichter.,Allen on runoilija.,Allen est un poète.,Allen ist ein Dichter.,אלן משורר.,Allen költő.,Allen è un poeta.,アレンは詩人です。,Allen jest poetą.,Аллен — поэт.,Allen es un poeta.,Allen bir şair.,Аллен — поет.
248,1535,"If you see a mistake, then please correct it.",如果你發現有錯的話請幫忙改正。,"Als je een fout ziet, verbeter die dan alsjeblieft.","Jos näet virheen, niin korjaathan sen.",Si tu vois une faute alors corrige-la s'il te plaît.,"Wenn du einen Fehler siehst, dann korrigiere ihn bitte.","אם אתה רואה טעות, תקן אותה בבקשה.","Ha látsz hibát, kérlek, javítsd ki!","Se vedi un errore, correggilo allora, per favore.",もし間違いを見つけたら訂正してください。,"Jeśli widzisz błąd, to popraw proszę.","Если увидите ошибку, исправьте её, пожалуйста.","Si ves un error, entonces corrígelo, por favor.",Bir hata görürseniz lütfen düzeltin.,"Якщо ти бачиш помилку, виправ її, будь ласка."
253,1540,Why don't we go home?,我们何不回家呢？,Waarom gaan we niet naar huis?,Mitä jos menisimme kotiin?,Et si nous retournions à la maison ?,Wieso gehen wir nicht heim?,למה אנחנו לא הולכים הביתה?,Miért nem megyünk haza?,Perché non andiamo a casa?,家に帰りましょうか。,Dlaczego nie pójdziemy do domu?,Почему бы нам не пойти домой?,¿Por qué no nos vamos a casa?,Neden eve gitmiyoruz?,Чому ми не йдемо додому?
257,1544,One million people lost their lives in the war.,100万人在战争中失去了生命。,Een miljoen mensen hebben het leven gelaten in de oorlog.,Miljoona ihmistä menetti henkensä sodassa.,Un million de personnes ont perdu la vie pendant la guerre.,Eine Million Menschen haben im Krieg ihr Leben verloren.,מיליון איש איבדו את חייהם במלחמה.,Egymillió ember vesztette életét a háborúban.,Un milione di persone ha perso la vita durante la guerra.,１００万人の人々がその戦争で命を落とした。,W wojnie zginęło milion osób.,Один миллион человек потеряли свои жизни в этой войне.,Un millón de personas perdieron la vida en la guerra.,Bir milyon kişi savaşta hayatını kaybetti.,Один мільйон осіб втратили життя на війні.
270,1561,Did you miss me?,你想我了？,Hebt ge mij gemist?,Kaipasitko minua?,Je t'ai manqué ?,Hast du mich vermisst?,התגעגעת אליי?,Hiányoztam?,Ti sono mancato?,わたしがいなくて淋しいと思った？,Tęskniłeś za mną?,Ты скучал по мне?,¿Me has echado de menos?,Beni özledin mi?,Ти сумував за мною?
272,1564,Thank you very much!,非常感谢！,Heel erg bedankt!,Paljon kiitoksia.,Merci beaucoup !,Vielen Dank!,תודה רבה!,Köszönöm szépen!,Grazie mille!,ありがとうございます！,Bardzo dziękuję!,Большое спасибо!,¡Muchas gracias!,Çok teşekkür ederim!,Дуже дякую!
275,1567,It's a surprise.,这是一个惊喜。,Het is een verrassing.,Se on yllätys.,C'est une surprise.,Das ist eine Überraschung.,זאת הפתעה.,Ez egy meglepetés.,È una sorpresa.,びっくりだ。,To jest niespodzianka.,Это сюрприз.,Es una sorpresa.,O bir sürprizdir.,Це сюрприз.
276,1568,That's a good idea!,真是个好主意！,Dat is een goed idee!,Se on hyvä ajatus!,C’est une bonne idée !,Das ist eine gute Idee!,זה רעיון טוב!,Ez jó ötlet!,È una buona idea!,良い考えだね！,To jest dobry pomysł!,Это хорошая идея!,¡Esto es una buena idea!,İyi bir fikir!,Це гарна ідея!
285,1578,They say love is blind.,人们说爱情是盲目的。,Men zegt dat liefde blind is.,Sanotaan että rakkaus on sokea.,On dit que l'amour est aveugle.,"Man sagt, Liebe mache blind.",אומרים שהאהבה עיוורת.,"Azt mondják, a szerelem vak.",Si dice che l'amore è cieco.,「あばたもえくぼ」って言うからね。,"Mówi się, że miłość jest ślepa.","Говорят, любовь слепа.",Se dice que el amor es ciego.,Aşkın kör olduğunu söylüyorlar.,"Кажуть, що любов сліпа."
296,1590,Do you speak Italian?,你说意大利语吗？,Spreekt u Italiaans?,Puhutko italiaa?,Est-ce que tu parles italien ?,Sprichst du Italienisch?,אתם מדברים איטלקית?,Tudsz olaszul?,Parli italiano?,イタリア語を話せますか？,Czy mówi pan po włosku?,Вы говорите по-итальянски?,¿Hablas italiano?,İtalyanca konuşuyor musun?,Ти говориш італійською?
