,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
39,1322,Most people think I'm crazy.,De meeste mensen denken dat ik gek ben.,"Useimmat pitävät minua hulluna. | Useimmat ihmiset ajattelevat, että olen hullu. | Suurin osa ihmisistä pitää minua hulluna. | Useimpien mielestä olen hullu.",La plupart des gens pensent que je suis fou. | La plupart des gens pensent que je suis cinglé.,"Die meisten Leute denken, ich sei verrückt.",רוב האנשים חושבים שאני משוגע. | רוב האנשים חושבים שאני מטורף.,"A legtöbben őrültnek tartanak. | A legtöbb ember azt hiszi, hogy őrült vagyok.",La maggior parte delle persone pensa che io sia pazzo.,大抵の人は僕を気違いだと思っている。,大部份的人覺得我瘋了。,"Większość ludzi sądzi, że jestem szalony. | Większość ludzi sądzi, że zwariowałem.",A maioria das pessoas acham que eu sou louco. | A maioria das pessoas acha que eu estou louco. | Muita gente pensa que eu estou louco. | Muita gente acha que eu estou louco.,"Большинство людей думает, что я сумасшедший. | Большинство людей полагают, что я сумасшедший. | Большинство людей считают меня сумасшедшим.",La mayoría de la gente cree que estoy loco. | La mayoría de la gente piensa que estoy loco. | La mayoría de la gente piensa que estoy loca. | Mucha gente piensa que estoy loco. | Mucha gente piensa que estoy loca.,Birçok kişi deli olduğumu düşünür.,Більшість людей вважає мене божевільним. | Більшість людей вважає мене божевільною.
42,1325,He's kicking me!,Hij schopt me!,Hän potkii minua!,Il me donne des coups de pied !,Er tritt mich!,הוא בועט בי!,Ő rúgdos engem!,Mi sta calciando! | Lui mi sta calciando!,彼は私を蹴っています！,他在踢我！,On mnie kopie!,Ele está me chutando!,Он меня пинает!,¡¡Él está pateándome!! | ¡Él me está dando patadas!,O bana tekme atıyor!,Він б'є мене ногами!
43,1326,Are you sure?,Weet je het zeker? | Zijt ge zeker? | Weet u dat zeker? | Weten jullie het zeker? | Ben je zeker?,Oletko varma? | Oletko ihan varma?,Est-ce que tu es sûr ? | Es-tu sûr ? | Es-tu sûre ? | Êtes-vous sûr ? | Êtes-vous sûre ? | Êtes-vous sûres ? | Êtes-vous sûrs ? | Êtes-vous sûr ? | Es-tu sûr ? | Êtes-vous sûrs ? | Êtes-vous sûres ?,Bist du sicher? | Bist du dir sicher? | Sind Sie sicher?,אתה בטוח? | אתה בטוח בכך? | בטוח? | האם אתם בטוחים? | אתה סבור כך? | את בטוחה? | אתם בטוחים? | אתן בטוחות?,Biztos vagy benne? | Biztos vagy te ebben? | Tuti? | Bizti? | Tutkó?,Sei sicuro? | Lei è sicura?,本当？ | 本気？,你肯定吗？ | 你确定吗？ | 你确定？,Jesteś pewien? | Jesteś pewna?,Tem certeza? | Você está certo disso? | Vocês têm certeza? | Você tem certeza?,Ты уверен? | Вы уверены? | Ты уверена? | Уверен?,¿Estás seguro? | ¿Estás segura? | ¿Está segura? | ¿Está seguro? | ¿Están seguros? | ¿Estáis seguros? | ¿Estáis seguras? | ¿Están seguras?,Emin misin?,Ти впевнена? | Ти впевнений? | Ви впевнені? | Ти певен? | Ти певна?
45,1328,"Oh, there's a butterfly!","O, hier zit een vlinder!","Oi, täällä on perhonen!","Oh, il y a un papillon ! | Oh, un papillon ! | Oh, il y a un papillon !","Oh, da ist ein Schmetterling!","הו, הנה פרפר! | הו! יש כאן פרפר!","Ó, itt van egy pillangó!","Oh, c'è una farfalla!",あ！蝶々がいる！ | あ、蝶々がいる。 | あっ、ちょうちょだ！,哦！有一隻蝴蝶！,"Och, tam jest motyl!","Oh, ali está uma borboleta! | Olha, uma borboleta!","О, здесь бабочка! | О, гляди, бабочка! | Ой, тут бабочка!","¡Ah, allí hay una mariposa!","Ah, bir kelebek var!","Дивись, метелик! | О, тут метелик!"
46,1329,Hurry up.,Schiet op! | Haast je. | Schiet op. | Maak voort! | Haast je!,Pidä kiirettä.,Dépêche-toi ! | Dépêche-toi. | Grouille ! | Vite ! | Pressez-vous ! | Fiça ! | Magne-toi ! | Magnez-vous !,Beeil dich! | Beeil dich. | Mach hin!,תזדרז! | נו!!! | הזדרז! | תזדרזי! | תזדרזו! | הזדרזי!,Siess! | Igyekezz! | Spuri! | Szedd a lábad! | Kapkodd a lábad! | Iparkodj! | Siessen!,Svelto! | Sbrigati! | Sbrigatevi! | Si sbrighi!,急いで！ | 急ぎなさい。 | さあ、急いで。 | 早く！ | 急げ！,趕快! | 快點! | 快点！ | 快点。,Pośpiesz się!,Apresse-se! | Apresse-se. | Depressa! | Apressa-te! | Se apressa!,Поторапливайся! | Быстрей! | Скорее! | Живей! | Давай быстрей. | Давайте быстрей. | Давай быстрее. | Давайте быстрее. | Поторапливайся. | Давайте быстрее! | Давайте быстрей! | Давай быстрей!,¡Date prisa! | Apresúrate. | Apúrese. | Daos prisa.,Acele et!,Швидше! | Хутчіш! | Ворушіться! | Хутко. | Поквапся! | Поспішай! | Хутко! | Швидко! | Поспіши. | Хутчіш. | Ворушися.
47,1330,It doesn't surprise me.,Het verbaast me niet.,Se ei minua yllätä. | Se ei yllätä minua. | Se ei tule yllätyksenä. | Ei se minua yllätä. | Ei se yllätä minua. | Minua se ei yllätä. | Minua ei se yllätä.,Ça ne me surprend pas. | Cela ne me surprend pas.,Es überrascht mich nicht. | Das überrascht mich nicht.,לא מפתיע אותי. | זה לא מפתיע אותי.,Ez nem lep meg engem. | Ez nem lep meg.,Non mi sorprende.,驚くことではないね。,这并不让我惊讶。,To mnie nie zaskakuje. | Jakoś to mnie nie dziwi.,Não me surpreende. | Isso não me surpreende.,Это не удивительно. | Меня это не удивляет.,No me sorprende.,O beni şaşırtmıyor. | Beni şaşırtmadı.,Це і не дивно. | Це мене не дивує.
49,1333,It depends on the context.,Dat hangt af van de context.,Se riippuu asiayhteydestä. | Se riippuu kontekstista.,Ça dépend du contexte.,Das kommt auf den Zusammenhang an. | Das hängt vom Zusammenhang ab. | Das hängt vom Kontext ab.,תלוי בהקשר.,A szövegkörnyezettől függ. | Ez a konteksztustól függ.,Dipende dal contesto.,それは文脈による。,这要看情况。 | 这得看情况。,Zależy od kontekstu.,Depende do contexto.,Это зависит от контекста. | Зависит от контекста.,Eso depende del contexto. | Depende del contexto. | Depende el contexto.,"Bu, bağlama bağlıdır. | O, içeriğe bağlıdır.",Це залежить від контексту. | Залижить від контексту.
51,1335,That's the stupidest thing I've ever said.,Dat is het domste wat ik ooit gezegd heb.,"Se on typerin asia, jonka olen ikinä sanonut. | Se on tyhmintä, mitä olen koskaan sanonut. | Se on typerin asia, jonka olen koskaan sanonut.",C'est la chose la plus stupide que j'ai jamais dite.,"Das ist das Dümmste, was ich je gesagt habe.",זה בדבר הכי מטופש שאמרתי אי פעם.,"Ez a legbutább dolog, amit valaha mondtam.",È la cosa più stupida che abbia mai detto. | Quella è la cosa più stupida che io abbia mai detto.,こんな馬鹿なことは言ったことが無い。,那是我说过的最愚蠢的话了。 | 我曾说过的废话当中那是最愚蠢的一句。,"To najgłupsza rzecz, jaką kiedykolwiek powiedziałem.",Essa foi a coisa mais estúpida que eu já disse.,"Это самая глупая вещь, которую я когда-либо говорил. | Это самая большая глупость, которую я когда-либо говорил.",Es la cosa más estúpida que he dicho nunca. | Es la cosa más estúpida que he dicho hasta ahora.,"Bu şimdiye kadar söylediğim en aptalca şey. | Bu, söylediğim en aptalca şey.","Це найбільша нісенітниця, яку я коли-небудь казав."
53,1337,"When I grow up, I want to be a king.","Als ik later groot ben, wil ik koning worden.","Kun kasvan isoksi, haluan olla kuningas. | Isona haluan olla kuningas.","Quand je serai grand, je veux être roi. | Lorsque je serai grand, je veux être roi.","Wenn ich groß bin, will ich ein König sein.","אני רוצה להיות מלך כשאגדל. | כשאגדל, אני רוצה להיות מלך.","Ha felnövök, király akarok lenni. | Ha nagy leszek, király akarok lenni.","Quando sarò grande, voglio essere un re. | Da grande voglio fare il re.",大きくなったら王様になりたい。,我長大後想當國王。,"Kiedy dorosnę, chcę być królem.","Quando eu crescer eu quero ser rei. | Quando eu crescer eu quero ser um rei. | Quando crescer, quero ser rei.","Когда я вырасту, я хочу стать королём. | Я хочу стать королём, когда вырасту.","Cuando crezca, quiero ser un rey. | Quiero ser rey cuando sea grande.",Büyüyünce bir kral olmak istiyorum.,"Я хочу стати королем, коли виросту. | Я мрію стати королем, коли виросту. | Я хочу стати королем, як виросту."
56,1340,So what?,Dus? | En? | Nou en?,Mitä sitten? | Mitä siitä? | Entä sitten? | Entäs sitten?,"Et alors ? | Eh bien, quoi ? | Et donc ? | Et alors ? | Et ?",Na und? | Ja und?,"אז מה? | אז??? | נו, אז מה? | ובכן?","És akkor mi van? | Na bumm, és akkor mi van? | Hát aztán? | És akkor? | Na és akkor!? | Na és aztán!? | Na és?",E allora? | E quindi?,だから何？ | だから何なの？ | それが何か？,那又怎樣?,No i co? | No i?,E daí? | E agora?,Так что? | Ну и что? | И что? | Ну?,¿Entonces qué? | ¿Y qué? | ¿Y a mí qué?,Öyleyse ne yapmalı? | Ne yani? | Ne olmuş? | E yani? | Eee?,Ну то що? | Ну й що? | Ну і що? | І що?
61,1345,I've always wondered what it'd be like to have siblings.,Ik heb me altijd afgevraagd hoe het zou zijn om broertjes en zusjes te hebben.,Olen aina miettinyt millaista olisi jos olisi sisaruksia.,Je me suis toujours demandé ce que ça ferait d'avoir des frères et sœurs.,"Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben.",תמיד תהיתי איך מרגישים כשיש אח או אחות.,"Mindig érdekelt, milyen volna, ha lennének testvéreim.",Mi sono sempre chiesto come sarebbe avere dei fratelli o delle sorelle. | Io mi sono sempre chiesto come sarebbe avere dei fratelli o delle sorelle. | Mi sono sempre chiesta come sarebbe avere dei fratelli o delle sorelle. | Io mi sono sempre chiesta come sarebbe avere dei fratelli o delle sorelle.,兄弟がいるとどんなだろうといつも思う。,我总是想有兄弟姐妹会怎么样。,"Zawsze zastanawiałem się, jak to jest mieć rodzeństwo.",Eu sempre imaginei como seria ter irmãos.,"Мне всегда было интересно, как это - иметь братьев и сестер. | Мне всегда было интересно, каково это - иметь братьев и сестёр.",Siempre me he preguntado cómo será tener hermanos.,Ben her zaman kardeşlere sahip olmanın nasıl bir şey olduğunu hep merak ettim.,Мені завжди було цікаво як це - мати братів та сестер.
63,1347,It would take forever for me to explain everything.,Ik heb een eeuwigheid nodig om alles uit te leggen. | Ik zou een eeuwigheid bezig zijn om alles uit te leggen.,Kaiken selittämiseen menisi ikuisuus.,Ça me prendrait l'éternité pour tout expliquer.,"Es würde ewig dauern, alles zu erklären. | Um alles zu erklären würde ich ewig brauchen.",יקח עידן ועידנים להסביר את הכל. | אני זקוק ליובלות כדי להסביר את הכל.,"Az örökké valóságig tartana, hogy elmagyarázzak mindent. | Az örökkévalóságig tartana mindent elmagyaráznom.",Mi ci vorrebbe una vita per spiegare tutto.,いつまでかかっても全部を説明するのは無理だ。,我就算說上三天三夜，恐怕也不能把一切解釋清楚。 | 要都解释的话，需要一辈子的时间。,"Potrzebna wieczność, żeby wszystko wytłumaczyć.",Eu levaria uma eternidade para explicar tudo.,"Мне потребовалась бы вечность, чтобы всё объяснить.",Me tomaría una eternidad explicarte todo.,Her şeyi açıklamam sonsuza kadar sürer.,"Мені знадобиться вічність, щоб все пояснити."
64,1348,That's because you're a girl.,Dat komt doordat je een meisje bent.,"Tämä johtuu siitä, että olet tyttö. | Se johtuu siitä, että olet tyttö.",C'est parce que tu es une fille. | C'est parce que t'es une nana.,"Das liegt daran, dass du ein Mädchen bist.",זה משום שאת בת. | זה משום שאת בחורה.,"Azért, mert lány vagy.",È perché sei una ragazza. | Quello è perché sei una ragazza. | È perché tu sei una ragazza.,あなたが女の子だからよ。,那是因為妳是女生。,"To dlatego, że jesteś dziewczyną.",É porque você é menina. | Isto acontece porque você é uma garota.,"Это потому, что ты девушка. | Это потому, что ты девочка.",Eso es porque eres una chica. | Eso es porque eres niña. | Eso es porque eres una niña.,Sebebi senin bir kız olmandır.,"Це тому, що ти дівчинка. | Це через те, що ти дівчина."
79,1363,I thought you liked to learn new things.,Ik dacht dat je graag nieuwe dingen leerde.,Luulin että pidät uusien asioiden oppimisesta.,Je pensais que tu aimais apprendre de nouvelles choses. | Je croyais que tu aimais apprendre de nouvelles choses.,"Ich dachte, du würdest gerne neue Sachen lernen.",סברתי שאתה אוהב ללמוד דברים חדשים.,"Azt gondoltam, szeretsz új dolgokat tanulni.",Pensavo che ti piacesse imparare cose nuove.,あなたは新しいことを勉強したいのだと思った。,我以為你喜歡學習新事物。,"Pomyślałem, że będziesz się chciał nauczyć czegoś nowego. | Pomyślałam, że będziesz chciał się nauczyć czegoś nowego.",Eu pensei que você gostava de aprender coisas novas. | Eu pensei que você gostasse de aprender coisas novas. | Pensei que tu gostasses de aprender coisas novas. | Eu pensava que tu gostavas de aprender coisas novas. | Eu pensei que vocês gostassem de aprender coisas novas. | Eu pensava que vocês gostavam de aprender coisas novas. | Pensei que vós gostásseis de aprender coisas novas. | Eu pensava que vós gostáveis de aprender coisas novas. | Eu pensei que o senhor gostasse de aprender coisas novas. | Eu pensava que o senhor gostava de aprender coisas novas. | Pensei que a senhora gostasse de aprender coisas novas. | Eu pensava que a senhora gostava de aprender coisas novas. | Eu pensei que os senhores gostassem de aprender coisas novas. | Eu pensava que os senhores gostavam de aprender coisas novas. | Pensei que as senhoras gostassem de aprender coisas novas. | Eu pensava que as senhoras gostavam de aprender coisas novas.,"Я думал, ты любишь изучать новые вещи.",Yo pensaba que te gustaba aprender cosas nuevas.,Yeni şeyler öğrenmeyi sevdiğini sanıyordum.,"Я думав, тобі подобається вивчати нові речі. | Я думала, тобі подобається дізнаватися нового."
